nu/nu_c,j_nu,j_nu_fit,alpha_nu,alpha_nu_fit,rho_Q,rho_V
1.000000e+00,3.026880e-23,3.086951e-23,4.843990e-14,4.999235e-14,1.489772e-14,1.943894e-14
1.258925e+00,3.282761e-23,3.329032e-23,3.318543e-14,3.399667e-14,1.007742e-14,1.305324e-14
1.584893e+00,3.557462e-23,3.589554e-23,2.271266e-14,2.311388e-14,6.817197e-15,8.734705e-15
1.995262e+00,3.852178e-23,3.869809e-23,1.552970e-14,1.571091e-14,4.611720e-15,5.827123e-15
2.511886e+00,4.168298e-23,4.171155e-23,1.060816e-14,1.067601e-14,3.119409e-15,3.876630e-15
3.162278e+00,4.507547e-23,4.495014e-23,7.240041e-15,7.252390e-15,2.109503e-15,2.572510e-15
3.981072e+00,4.871448e-23,4.842869e-23,4.937029e-15,4.924952e-15,1.426039e-15,1.703143e-15
5.011872e+00,5.261880e-23,5.216259e-23,3.363934e-15,3.343131e-15,9.635043e-16,1.125166e-15
6.309573e+00,5.680660e-23,5.616769e-23,2.290337e-15,2.268377e-15,6.505399e-16,7.418713e-16
7.943282e+00,6.129684e-23,6.046024e-23,1.558218e-15,1.538386e-15,4.388393e-16,4.882542e-16
1.000000e+01,6.610864e-23,6.505670e-23,1.059329e-15,1.042745e-15,2.956991e-16,3.207955e-16
1.258925e+01,7.126146e-23,6.997357e-23,7.196093e-16,7.063606e-16,1.989759e-16,2.104398e-16
1.584893e+01,7.677419e-23,7.522720e-23,4.884271e-16,4.781662e-16,1.336680e-16,1.378436e-16
1.995262e+01,8.266494e-23,8.083344e-23,3.312262e-16,3.234454e-16,8.961709e-17,9.016742e-17
2.511886e+01,8.895228e-23,8.680736e-23,2.244067e-16,2.186022e-16,5.994153e-17,5.890375e-17
3.162278e+01,9.565219e-23,9.316276e-23,1.518776e-16,1.476035e-16,3.998076e-17,3.843246e-17
3.981072e+01,1.027788e-22,9.991170e-23,1.026728e-16,9.955897e-17,2.657950e-17,2.504704e-17
5.011872e+01,1.103439e-22,1.070639e-22,6.932016e-17,6.707386e-17,1.760261e-17,1.630548e-17
6.309573e+01,1.183540e-22,1.146260e-22,4.673507e-17,4.512919e-17,1.160572e-17,1.060335e-17
7.943282e+01,1.268120e-22,1.226007e-22,3.145828e-17,3.032000e-17,7.612618e-18,6.887780e-18
1.000000e+02,1.357159e-22,1.309859e-22,2.113775e-17,2.033751e-17,4.964147e-18,4.470217e-18
1.258925e+02,1.450554e-22,1.397738e-22,1.417514e-17,1.361714e-17,3.215517e-18,2.898069e-18
1.584893e+02,1.548100e-22,1.489493e-22,9.485051e-18,9.099308e-18,2.067290e-18,1.877064e-18
1.995262e+02,1.649512e-22,1.584890e-22,6.331251e-18,6.066974e-18,1.318077e-18,1.214313e-18
2.511886e+02,1.754385e-22,1.683600e-22,4.214742e-18,4.035298e-18,8.327320e-19,7.847270e-19
3.162278e+02,1.862180e-22,1.785181e-22,2.797363e-18,2.676751e-18,5.208770e-19,5.065647e-19
3.981072e+02,1.972174e-22,1.889070e-22,1.850537e-18,1.770310e-18,3.222470e-19,3.265961e-19
5.011872e+02,2.083613e-22,1.994562e-22,1.219766e-18,1.166998e-18,1.968983e-19,2.103156e-19
6.309573e+02,2.195313e-22,2.100807e-22,8.008182e-19,7.665327e-19,1.185369e-19,1.352755e-19
7.943282e+02,2.306251e-22,2.206796e-22,5.234993e-19,5.015126e-19,7.002429e-20,8.287352e-20
1.000000e+03,2.414965e-22,2.311359e-22,3.406059e-19,3.267117e-19,4.031775e-20,4.801434e-20
1.258925e+03,2.519939e-22,2.413166e-22,2.204880e-19,2.118415e-19,2.238538e-20,2.642117e-20
1.584893e+03,2.619513e-22,2.510737e-22,1.419481e-19,1.366608e-19,1.178401e-20,1.279452e-20
1.995262e+03,2.711897e-22,2.602458e-22,9.084725e-20,8.767562e-20,5.707721e-21,4.260761e-21
2.511886e+03,2.795243e-22,2.686608e-22,5.777715e-20,5.591458e-20,2.376065e-21,8.862962e-22
3.162278e+03,2.867676e-22,2.761402e-22,3.649865e-20,3.543129e-20,6.601363e-22,-8.328599e-22
3.981072e+03,2.927370e-22,2.825038e-22,2.289309e-20,2.229800e-20,-1.433289e-22,-1.827522e-21
5.011872e+03,2.972581e-22,2.875757e-22,1.425162e-20,1.393040e-20,-4.569700e-22,-2.023144e-21
6.309573e+03,3.001793e-22,2.911918e-22,8.802134e-21,8.635408e-21,-5.239042e-22,-2.483022e-21
7.943282e+03,3.013704e-22,2.932068e-22,5.391531e-21,5.309248e-21,-4.784497e-22,-2.368633e-21
1.000000e+04,3.007385e-22,2.935024e-22,3.274116e-21,3.236170e-21,-3.920762e-22,-1.896769e-21
1.258925e+04,2.982349e-22,2.919947e-22,1.970665e-21,1.954822e-21,-3.006789e-22,-1.363128e-21
1.584893e+04,2.938446e-22,2.886402e-22,1.175219e-21,1.169783e-21,-2.201551e-22,-1.120911e-21
1.995262e+04,2.876021e-22,2.834414e-22,6.942807e-22,6.932490e-22,-1.556065e-22,-7.576052e-22
2.511886e+04,2.7958